description,house_rules,picture_url,user_id,latitude,longitude,max_occupancy,num_bathrooms,num_bedrooms,num_beds,price
Beautiful spacious light-filled 1-bedroom apartment in historic neighborhood. (The cats in the photos have moved on to a fluffier abode in the sky - there are no feline residents in the apartment.)  Please forgive me (!) but I don\t usually feel comfortable with 20-somethings.  This is my precious home and I need reassurance that my guests are detail-oriented and conscientious. If you inquire please share a bit about yourself -- thank you! Spacious bright 900-sqare-foot riverview apartment in the quiet historic West Village (tree-lined streets brownstones) steps from shops restaurants and many other great NYC neighborhoods. Adjacent to the trendy Meat Packing District and easily walkable to Chelsea Soho Tribeca the East Village and more. Farmer\s Market on Saturday\s 2 blocks from apartment. Short subway ride to the Theater District Upper West Side Central Park and even Brooklyn! Across the Street from Hudson River Park - you can picnic or walk/bike/jog up and down th,NO SMOKING. No parties.,https://a0.muscache.com/im/pictures/13946/0c09e2b3_original.jpg?aki_policy=large,11,40.73552,-74.01042,2,1,1,1,$160.00 
Discounted now!   Beautiful house gorgeous garden patio cozy room and helpful host!   Super safe and quiet in beautiful vibrant Park Slope!   Please read  then WRITE to me about your  trip and needs.  Please do NOT request reservation until I reply \yes \.   I want to be sure it\s right for you! Close to great restaurants culture Prospect Park.   3 minutes walk to 3 subway lines 20 mins to Manhattan. LEGAL rental -- per NY laws.   Six gyms nearby. Welcome to an historic stunning 4-story Brooklyn house in super safe quiet and friendly Park Slope.   140 year old house filled with light color artwork.  Large beautiful garden and patio.  Legal rental.   Three excellent SUBWAY LINES (R F G)   2 minutes walk 20 mins to Manhattan.  Please write to me with your details;   Wait til I reply \yes\ before requesting room. Discounts available for longer stay. Historic house with charming details not \modern\;  some quirks like creaky stairs.  Perfect for casual flexible busy tr,Everyone must wear shoes on stairs Not socks. Absolutely no hair dyes in house.  Only toilet paper --no wipes no sanitary products or heavy papers  in the toilet.  Do not ever OPEN  DOOR for anyone no exceptions. Sorry no young children (older kids can have their own room).  No problem to come in late. Please respect my neighbors -  be quiet but friendly outside.   Please FOLLOW RECYCLE  RULES:   Paper is separate;  Metal plastic glass and cartons  together .  Save all boxes and bags for me don\t throw out.  Do NOT UNPLUG  any electrical cords!! Turn off fans air conditioner lights each day. Please use as little WATER as possible!   Please use toilet paper to clear your hair out of shower drain and off the floor every day; put in garbage.  Leave drain net in the shower.   Patio events with permission. Sorry I don\t have TV.,https://a0.muscache.com/im/pictures/2884180/f19a12ef_original.jpg?aki_policy=large,12,40.66829,-73.98779,2,1.5,1,0,$89.00 
This is a wonderful pre-war apartment full of charm and close to subway restaurants markets pharmacies museums and 15 minutes to Times Square. It is somewhat noisy but nothing that earplugs won\t resolve. The room faces Central Park West and the Park with beautiful morning sun please see photos. This is a 2-bedroom apartment 1 bathroom shared with the owner. The price listed is for SINGLES - there is a $20.00 upcharge per day for 2 people. I DO NOT host 3 people or more. GUEST BEDROOM on Central Park West.  Beautiful and safe location overlooking Central Park.  2 minutes from the C and B trains 4 blocks from Broadway and trains 1 and 9 on the Upper West Side of Manhattan near Columbia University.  The room is sunny with a Full-size bed...shared bathroom with owner and the kitchen can be used for breakfast – NO COOKING. Clean environment air conditioning and a nicely decorated room with cable TV wireless and fresh linens provided.  This is a 2-bedroom apartment shared with own,Just be considerate clean and polite. Be mindful that we are sharing a space... Guests get their own keys and are free to come and go as they please no curfews!!! I just ask not to eat or drink in the room for that we have a kitchen... I hope my guests enjoy my place and the fabulous location as much as I do...,https://a0.muscache.com/im/pictures/37073540-bf38-4239-99e6-47e8e405a08d.jpg?aki_policy=large,13,40.79826,-73.96113,1,1,1,1,$85.00 
Freshly painted bright open space! Excellent West Village Location - Bleecker Street and Perry Street in the heart of the West Village a historic and chic neighborhood in Manhattan with many 19th century townhouses. Excellent West Village Location - Bleecker Street and Perry Street in the heart of the West Village a historic and chic neighborhood in Manhattan with many 19th century townhouses. Around every corner you will find brownstones stoops cobblestone and tree lined streets Plus endless restaurant & shopping choices.    The apartment has many original details and is located in a historic pre-war apartment building on one of the prettiest street corners in lower Manhattan. Details:  * Large windows provide beautiful natural light and views of the charming neighborhood  * Hardwood floors and vintage style tile * Decorative fireplace with mantel * Renovated Kitchen with full refrigerator stove microwave and dishwasher  * Spacious open floor plan and high ceilings * Queen size,House Rules: Make yourself at home at the West Village Nest!  I want you to enjoy the cozy apartment as if it were your own home while following some basic house rules: Please observe- 1. No smoking No smokers. No Drugs 2.  The apartment residents prefer to maintain a quiet building environment.  Please refrain from loud noises especially in the hallways.  Quiet hours in building after 9pm.  3. No parties Guests are discouraged. If you have a guest visit please ask guest to respect house rules and quiet hours. 4. This is a fully furnished apartment.  No additional furniture can be brought into the apartment.   5. Lost key=$150 6. Single Occupancy only. 1 person.   7. Please return the apartment in the same condition it was received.  House cleaner available please inquire for rates. 8.  I provide instructions for trash and recycle policy.  Please observe otherwise the building manager will assess a heavy fine for non compliance.   9.  Bath provides shower use only no bathtub use d,https://a0.muscache.com/im/pictures/3323212/430d6aa8_original.jpg?aki_policy=large,14,40.7353,-74.00525,1,1,1,1,$120.00 
Comfortable studio apartment with super comfortable king size bed and  full kitchen and bathroom located in FABULOUS Williamsburg Brooklyn. Our comfortable 500 sq foot (46 sq m) studio apartment with full kitchen and bath is for short term rental. The apartment is private and is in a two family house. The house is located in FABULOUS Williamsburg Brooklyn within 10 minute travel from Manhattan. The studio is a perfect place to stay for budget minded visitors of New York City! IN THE APARTMENT: Comfortable luxury king size bed soft flannel bed linens pillows comforters a couch with queen size pullout bed air conditioning hangers iron & ironing board alarm clock radio TV(No Cable/Satellite) DVD/VCR player wireless internet access for guest\s laptops dining table room divider/screen IN THE BATHROOM:  Fluffy bath towels hand towels bath mat wash cloths toilet paper (initial supply) plunger/toilet brush soaps shampoo & conditioner hair dryer. IN THE KITCHEN:  Refrige,This is a NON SMOKING unit.  CHECK-IN TIME is AFTER 2 P.M. EST AND CHECKOUT is 10 A.M. EST.  The maximum number of guests is limited to three (3) persons. An additional charge of 25% per person per night for guests in addition to three (3) will be assessed.  INCLUSIVE FEES – Rates include a one-time linen & towel setup. Amenity fees are included in the rental rate.  NO DAILY HOUSEKEEPING SERVICE – While linens and bath towels are included in the unit daily maid service is not included in the rental rate. However it is available at an additional rate.,https://a0.muscache.com/im/pictures/e4f031a7-f146-40fd-98fd-b399a940c505.jpg?aki_policy=large,15,40.70837,-73.95352,3,1,,1,$140.00 
Beautiful peaceful healthy home Home is fun healthy.  Your Night’s Sleep: 100% cotton sheets and a fluffy down comforter. Just pack your favorite comfy shoes and bring your empty suitcases to fill. There are 2 rooms right now the white room is available. It is a sleeping loft that is fit for a queen. The perfect night sleep. One single sleeping bedroom The room is approximately 65 square feet. The twin bed is built on the legs of a piano from the 1800\s. There is a dresser and a nice size closet for all your clothes. Hairdryer bedding and towels are provided in your room. The room is sound proof no street noise perfect for recovering from jet-lag.  I feel that if my guests have a good nights sleep they are full of energy for their adventure which I end up having happy guests. The Common Space: approximately 500 square feet features an Eat-in kitchen living room and bathroom to share. There is never more than 2 guests here at a time this way there is enough space for each of ,Healthy Rules Shoes off before entering  Brush your teeth in the kitchen primary water all bathrooms have secondary water. Please close the lid on the toilet before flushing. When not in your room please turn the lights and air conditioner off. Before leaving your room please recycle all trash. Thank You. ;-),https://a0.muscache.com/im/pictures/be6cd5b3-9295-4b6d-bf9a-a1ca4e2c9ea5.jpg?aki_policy=large,16,40.78962,-73.94802,1,1,1,1,$65.00 
Parents/grandparents coming to town or just here for work or play? You\ll love this  Victorian townhouse on a quiet residential street. We live upstairs but the unit is street level and private w/own entrance. You\ll have a bedroom bathroom living room kitchenette and huge garden. Big hi-definition 48-inch TV w/cable and internet. Note: Bathroom is en suite so additional guests must walk through the bedroom to use it. Self-check in at your convenience. Very spacious (for NY) and clean: We follow CDC guidelines for disinfecting the space. Kitchen features cooktop microwave fridge/freezer sink cutlery/dishes/pots/pans coffeepot and teapot as well as coffee tea condiments. If you need oven you can use  kitchen just a flight up (you won\t run into anyone up there either as we don\t cook). King-size bed and queen-size sofa bed bathroom with shower but no tub. This is an open-space design. No door to bedroom but screens for privacy. Stairs lead to main house (behind closed doo,,https://a0.muscache.com/im/pictures/107655549/ad63e75a_original.jpg?aki_policy=large,17,40.69121,-73.97277,4,1,1,2,$199.00 
Great location just steps to Central Park. Elevator building. Large room within a 2 bedrooms apartment about 800 sqf You will share the kitchen and bathroom with one female roommate who stays in her own room. Located on 109th St East Side. Just half a block to Central park.  Building is one minute walk to 5th ave. You have many subway options within 5 mins walk away close to the 6 and 2/3 subway. Only 15 mins ride to Time square. Large Furnished bedroom one block to Central Park - sleeps 1  in this room. Available Starting May7th 2020 The apartment large. 2 bed room. will full size kitchen and bath.  One bed with queens size bed and the other with a full size bed. large real kitchen with stove and dishwasher . a nice size bathroom with big bath tub.  The rate is $50 per night. 13nights min please. plus $40 one time cleaning fee.  There is a $300 refundable deposit needed at check in time Please tell me a little about what bring you to the big apple and how many people will be staying.,,https://a0.muscache.com/im/pictures/30595787/61df567f_original.jpg?aki_policy=large,18,40.79685,-73.94872,1,1,1,0,$35.00 
A true open-plan loft in a repurposed factory building with beautiful sunlight a king bed and comfy double futon fully stocked kitchen with dishwasher washer and dryer custom cedar sauna bathroom with tub and shower and lots of lounging spaces. The apartment is an open-plan (Phone number hidden by Airbnb) sq. ft. loft (140 sq m) with 5 large windows providing bright sunlight all day located in an old factory building with many of the original finishes including tin ceilings wooden beams and columns and white brick walls. Very few of these original factory loft buildings remain in the neighborhood and this space is quite special. Located in the very center of Williamsburg: just two blocks from the Bedford L train and two blocks from McCarren park! Stellar restaurants bars nightlife and shopping are all steps away. Manhattan is just a 5-10 minute ride on the L train. The loft has a fully stocked kitchen with fridge oven microwave dishwasher and everything you might need ,Please treat our home with love as you would your own :-) No smoking indoors and no pets unless discussed when booking the reservation.,https://a0.muscache.com/im/pictures/207102/56d6fc69_original.jpg?aki_policy=large,19,40.71842,-73.95718,4,1,,2,$299.00 
I am the lucky owner of an amazing brownstone. I have been renting my second floor as a vacation rental for one year plus and have amazing response.I just discovered airbnb and i thought i could try it .looks like fun.!!!! anyway the apt is (URL HIDDEN) features a terrasse with chairs table umbrella and (URL HIDDEN) is prefect for having a glass of wine in summer nightsgrillingbrunch or simply chat and watch the stars!!!! Because the house is about 100 years oldthere is antique wood floortwo fireplaces and antique clawfoot tub.The kitchen is enterely equiped(stove fridge...) with brick counter like in Tuscany. The master bedroom features a true queen size bed with double french door to the terrasse. The living room offers a daybed that turns into two twins beds or another queen size bed. Towels are provided. cable and wifi The neighbouhood bedstuy is the new upcoming place to be.It is often described as the hidden treasure of Ny.A new italian restaurant just opened a few block a,RULES: (if the rules are not respected it could lead to penalties or even expulsion) No guests are allowed in the apartment without a permission from the owner. No party is llowed in the apartment unless it was requested and a specila rate has been paid. no smoking permitted inside the apartment. You can smoke outside on the stoop.  take off your shoes upon entering the apartment please  no jumping on beds.  The bath tub is an antique tub. Precautions need to be taken so as to no put water everywhere. It is not a regular enclosed stand up shower. You must particularly pay attention to the Side and back where there is no curtain.  everything that you move inside the apartment must be back at its place when you leave  the dishes must be done before check out  rubbish must be disposed outside in the proper bin before check out  any damage must be communicated  the windows have little locks  make sure they are open before opening the windows  there is no room serviceso watch the number,https://a0.muscache.com/im/pictures/1c51369e-a251-4f14-b105-159a56c2ab70.jpg?aki_policy=large,20,40.68371,-73.94028,5,1,1,4,$120.00 
Suite de 20 m2 a 5 min des 2 lignes de metro au Nord de Manhattan. Bars restaurants et un marche bio animent le quartier. Magnifique vue sur les Cloitres medievaux et inonde de lumiere. Parfait pour une escapade a New-York! Metro 1 et A,,https://a0.muscache.com/im/pictures/f3a49248-b3e6-4b54-8030-7fb580f0688e.jpg?aki_policy=large,21,40.86754,-73.92639,2,1,1,1,$80.00 
Awesome spacious & clean 1 bedroom with a cozy designer vibe. Located in the east village it is perfectly convenient for great restaurants and bars of all varieties. Super convenient access to subway lines; only 4 blocks from L train or quick walk to Union Square with access to N R Q and 456 short walk to F V at 2nd Avenue or 6 at Astor place. The east village offers a mixture of old school cool NY flavor and new school sophistication. Fun and unique boutiques and cafes line the streets. For some urban nature Thompkins Square Park is just 1 block east. Although the neighborhood is lively and fun the apartment is nice and quiet at night. As a designer in the interior/home field I bring a unique element of style to my home. If you are interested in a classic cool downtown experience in comfortable spot this is for you!!! Maps Local recommendations Menus The east village offers a mixture of old school cool NY flavor and new school sophistication. Fun and unique boutiques a,Coasters on all wood furniture. Respect the neighbors apartment and building. Do not leave garbage behind. No house parties.,https://a0.muscache.com/im/pictures/6476785/5768bbc7_original.jpg?aki_policy=large,22,40.7292,-73.98542,3,1,1,1,$175.00 
for couples or friends who are ok with sharing a bed. it\s in the front of the apartment & while everyone must walk past it when they enter it offers a bit more privacy than the other room(s) as it is more isolated. more noise from the nearby stairs _________________________________________________ F.A.Q. F.A.Q. F.A.Q. F.A.Q. F.A.Q. F.A.Q. F.A.Q. F.A.Q.  FREQUENTLY ASKED QUESTIONS -------------------------------------------------------------------------------------- Hi are xx-xx dates available? check the calendar if there\s availability feel free to make a booking i\ve had many times other guests book the dates someone is looking for because they are writing to ask me if the days they want are available.  --------------- Where are you located?? check the tab on this listing that says \location\ that will show you where i live and where you will be located in relation to wherever you would like to visit. --------------- How far away are you from X? times square- 15 minutes centr,Please take off your shoes when you enter and clean up after yourself.  Please do not leave hair clogging the tub drain crumbs of food laying around even though you put away your food etc. because you will be sharing my flat with me and possibly other guests too so please be courteous.  Also please turn off lights when you leave a room or the flat/apt.,https://a0.muscache.com/im/pictures/5821fadb-4590-40c3-946f-70573237ad56.jpg?aki_policy=large,23,40.82245,-73.95104,2,1,1,1,$50.00 
The room is spacious the neighborhood is safe and you are 10 blocks north of Central Park. The Subway is a 4 minute walk with Express and Local trains.  Plenty of restaurants bars and cafes nearby. The room has a desk and chair. Sorry the picture has not been updated. Comfortable and conveniently located 2 bedroom 1.5 bathroom in the best area in Harlem (8th Avenue between 120th and 121st streets). The second bedroom has a closet dresser and full size bed.  It is fully equipped with fresh linen towels etc. Please note I only rent the room to two guests when I am out of town. Large modern living room/dining room has a sofa bed tv but no cable wifi (throughout apt) antique dining room table and chairs… Full kitchen with everything you could possible need and washer / dryer Nearby Restaurants/bars: Vinteria - (8th Ave & 119th) Delicious café / restaurant “Les Ambassades” (8th Ave & 119th) Cedric - French (119th and St. Nicolas) Billy\s Black - (119th and St. Nicolas) Harlem ,No smoking No pets Renter would have the 2nd bedroom with full size bed linen and towels.,https://a0.muscache.com/im/pictures/38418/569b54fd_original.jpg?aki_policy=large,24,40.81305,-73.95466,2,1,1,1,$52.00 
this simple small room is good for  friends traveling together or couples who don\t mind sleeping in separate beds while they stay here. you must walk past the living room where there may be guests or the host(ess) hanging out. _________________________________________________ F.A.Q. F.A.Q. F.A.Q. F.A.Q. F.A.Q. F.A.Q. F.A.Q. F.A.Q.  FREQUENTLY ASKED QUESTIONS -------------------------------------------------------------------------------------- Hi are xx-xx dates available? check the calendar if there\s availability feel free to make a booking i\ve had many times other guests book the dates someone is looking for because they are writing to ask me if the days they want are available.  --------------- Where are you located?? check the tab on this listing that says \location\ that will show you where i live and where you will be located in relation to wherever you would like to visit. --------------- How far away are you from X? times square- 15 minutes central park 10-20min(depend,House rules are pretty simple.  Please take off your shoes when you enter and clean up after yourself. i.e. do not leave hair clogging the tub drain crumbs of food laying around even though you put away your food etc. because you will be sharing my flat with me and possibly other guests too so please be courteous.  Turn off lights when you leave a room or the flat/apt.,https://a0.muscache.com/im/pictures/53869/30fd87c0_original.jpg?aki_policy=large,25,40.8213,-73.95318,2,1,1,2,$50.00 
Private Rooms for Rent (Phone number hidden by Airbnb) EVERYTHING IS INCLUDED!!! JUST BRING YOUR CLOTHES.  $70  Low monthly rental rate  Offering a lovely furnished private rooms with full kitchen and bathroom in a brand new home for male or female. Perfect for travelers students international guests.  Included:  All Utilities  Comfortable bed or pullout sofa (full size with fine linens soaps and towels)  Fully equipped Kitchen and bath  All Rooms are extremely Clean and large  TV High speed internet cable  Wireless internet  Housekeeping  Laundry room on premises  Great location: Franklin Avenue in Downtown Brooklyn.  Clean and Safe area. Two blocks from the A C and Shuttle train to the B Q. Quick stops to Manhattan. Close to shopping area. Two blocks from the A C S train with quick and easy access to Manhattan.,Absolutely no smoking. Please respect the home and the neighborhood.,https://a0.muscache.com/im/pictures/16336315/c4bf41e8_original.jpg?aki_policy=large,26,40.6831,-73.95473,3,1,1,0,$70.00 
DISCOUNTED NOW!  Lovely room  gorgeous garden helpful host in beautiful vibrant Park Slope.  Super safe & quiet culturally rich  excellent restaurants Prospect Park.  LEGAL rental. 2 minutes walk to 3 great subway lines.   Organic market 6 gyms by house. Please read;  Write me about your trip and needs.  Please do not  request reservation until I reply \YES\. Welcome to an historic and stunning 4-story Brooklyn house filled with light color artwork & lovely garden in beautiful Park Slope!   Safe  quiet dynamic  popular neighborhood (#1 in NY!)     Discounted for spring 2020!  Three excellent SUBWAYS (R F G) by house.  20 mins to Manhattan. LEGAL rental of  one bedroom on top \Guest\ floor. Please write;  Wait until I reply \yes\  before you request reservation.    Discounts for long stays; I\m flexible.  The main floor is my office.   Enjoy the patio and  garden! This is a beautiful historic OLD  house not modern  so it has quirks of old houses like creaky stairs.  T,Everyone must wear shoes NOT socks on my stairs. Sorry no  children in rooms for safety.  Older kids can have their own room.  Please clean  your hair out of shower drain every day  and off of the floor.  Put in garbage.   No hair dyes can be used in house.  No wipes of any kind no sanitary products no heavy papers in the toilet.  Please use as little WATER as possible!   Do not ever open door for anyone no exceptions.   I have a fantastic guide book; please read print and follow house rules! No problem to come in late. Please respect my neighbors -  be quiet but friendly outside.   Please FOLLOW RECYCLE RULES:   Paper is separate;  Metal plastic glass and cartons  together . Do NOT UNPLUG  ANY PLUGS. Turn off fans air conditioner lights each day. Patio events with permission. Sorry no TV for your use.,https://a0.muscache.com/im/pictures/2885219/f762fbb8_original.jpg?aki_policy=large,27,40.66869,-73.9878,2,1,1,0,$89.00 
